Type,Word,Frequency
명사,Kind,112
명사,Haus,99
명사,Frau,82
명사,Freund,81
명사,Student,78
명사,Buch,68
명사,Auto,66
명사,Frage,63
명사,Verb,58
명사,Zug,57
명사,Herr,55
명사,Verb,51
명사,Eltern,50
명사,Prädikat,47
명사,Satz,47
명사,Artikel,45
명사,Jahr,45
명사,Zimmer,44
명사,Bruder,43
명사,Mann,42
명사,Fahrrad,41
명사,Perfekt,39
명사,Präposition,39
명사,Uhr,39
명사,Vater,38
명사,Prüfung,37
명사,Ergänzung,36
명사,Mutter,35
명사,Freundin,35
명사,Angabe,32
명사,Leute,31
명사,Deutsch,30
명사,Zeit,30
명사,Endung,30
명사,Stadt,30
명사,Bus,30
명사,Wohnung,30
명사,Form,29
명사,Subjekt,29
명사,Temporalsätze,29
명사,Arbeit,29
명사,Geld,28
명사,Präteritum,27
명사,Hauptsatz,27
명사,Tür,27
명사,Familie,27
명사,Nachbar,27
명사,Mensch,27
명사,Ferien,26
명사,Schwester,25
명사,Passiv,24
명사,Bahnhof,24
명사,Tag,24
명사,Lehrer,23
명사,Studium,22
명사,Person,22
명사,Abend,22
명사,Text,22
명사,Arzt,22
명사,Ende,22
명사,Land,22
명사,Reise,21
명사,Kino,21
명사,Attribute,20
명사,Name,20
명사,Brief,20
명사,Straße,20
명사,Zeitung,20
명사,Fenster,20
명사,Modalverben,19
명사,Hilfe,19
명사,Sprachkurs,19
명사,Kollege,19
명사,Unterricht,19
명사,Roman,18
명사,Film,18
명사,Problem,18
명사,Subjunktion,17
명사,Unfall,17
명사,Tisch,17
명사,Relativpronomen,17
명사,Adjektive,16
명사,Position,16
명사,Negation,16
명사,Miete,16
명사,Studentin,16
명사,Taxi,16
명사,Hotel,16
명사,Nebensatz,16
명사,Relativsatz,15
명사,Antwort,15
명사,Essen,15
명사,Gebrauch,14
명사,Modalverbe,14
명사,Deklination,14
명사,Adjektiv,14
명사,Seite,14
명사,Sprache,14
명사,Geschehen,14
명사,Professor,14
명사,Bett,14
명사,Tochter,14
명사,Woche,14
명사,Satzglieder,14
명사,Angabesatz,13
명사,Plan,13
명사,Brot,13
명사,Monat,13
명사,Gast,13
명사,Schüler,13
명사,Esel,13
명사,Partizip,13
명사,Sohn,13
명사,Übungsgrammatik,12
명사,Verben,12
명사,Anhang,12
명사,Nebensätz,12
명사,Singular,12
명사,Schlüssel,12
명사,Hausaufgabe,12
명사,Stunde,12
명사,Tee,12
명사,Kaffee,12
명사,Geschenk,12
명사,Nacht,12
명사,Foto,12
명사,Nom,12
명사,Wetter,12
명사,Nein,12
명사,Regel,11
명사,Imperativ,11
명사,Pronome,11
명사,Adverbie,11
명사,Infinitiv,11
명사,Plural,11
명사,Bilde,11
명사,Regierung,11
명사,Wort,11
명사,Fehler,11
명사,Sache,11
명사,Tourist,11
명사,Wasser,11
명사,Studentenheim,11
명사,Futur,11
명사,Abitur,11
명사,Hand,11
명사,Mantel,11
명사,Bild,11
명사,Stellung,10
명사,Doppelkonjunktion,10
명사,Sonne,10
명사,Wochenende,10
명사,Reflexivpronomen,10
명사,Rathaus,10
명사,Hund,10
명사,Wein,10
명사,Blume,10
명사,Altstadt,10
명사,Kugelschreiber,10
명사,Lampe,10
명사,Ausland,10
명사,Leid,10
명사,Übung,9
명사,Nominalgruppe,9
명사,Ergänzungssatz,9
명사,Universität,9
명사,Aufgabe,9
명사,Geburtstag,9
명사,Polizei,9
명사,Flugzeug,9
명사,Urlaub,9
명사,Berg,9
명사,Konzert,9
명사,Adresse,9
명사,Grund,9
명사,Brille,9
명사,Kartoffel,9
명사,Nachmittag,9
명사,Dass,9
명사,Nee,9
명사,Bezugswort,9
명사,Deutsche,8
명사,Personalpronomen,8
명사,Fragesatz,8
명사,Satzglied,8
명사,Vorschlag,8
명사,Stuhl,8
명사,Telefonnummer,8
명사,Chef,8
명사,Präfix,8
명사,Firma,8
명사,Grammatik,8
명사,Koffer,8
명사,Minute,8
명사,Rauchen,8
명사,Radio,8
명사,Welt,8
명사,Fuß,8
명사,Tempus,8
명사,Baum,8
명사,Garage,8
명사,Meisten,8
명사,Schwierigkeit,8
명사,Medizin,8
명사,Ampel,8
명사,Wörterbuch,8
명사,Nome,8
명사,Wand,8
명사,Krankheit,8
명사,Geschwister,8
명사,Großelter,8
명사,Relativpronome,8
명사,Einstein,8
명사,Infinitivsatz,7
명사,Satzverbindung,7
명사,Apposition,7
명사,Preis,7
명사,Konjunktion,7
명사,Garten,7
명사,Wagen,7
명사,Großmutter,7
명사,Geschichte,7
명사,Bier,7
명사,Lernen,7
명사,Tasche,7
명사,Polizist,7
